singer	song	lyric	next_lyric
五月天	步步	天空和我的中间\n只剩倾盆的思念	如果相识 不能相恋\n是不是还不如擦肩
张韶涵	猜不透	就像我们凭直觉走\n找不到同一个出口	从现在到心痛要多久\n还有没有以后
周杰伦	彩虹	看不见你的笑	我怎么睡得着\n你的声音这么近我却抱不到
周杰伦	彩虹	哪里有彩虹告诉我	能不能把我的愿望还给我
周杰伦	彩虹	没有地球太阳还是会绕\n没有理由我也能自己走	你要离开 我知道很简单\n你说依赖 是我们的阻碍
周杰伦	彩虹	有没有口罩一个给我	释怀说了太多就成真不了
周杰伦	彩虹	没有地球太阳还是会绕	没有理由我也能自己走
周杰伦	彩虹	有没有口罩一个给我\n释怀说了太多就成真不了	也许时间是一种解药\n也是我现在正服下的毒药
周杰伦	彩虹	哪里有彩虹告诉我\n能不能把我的愿望还给我	为什么天这么安静\n所有的云都跑到我这里
林宥嘉	残酷月光	让我爱你 然后把我抛弃\n我只要出发 不要目的	我会一直想你 忘记了呼吸\n孤独到底 让我昏迷
林宥嘉	残酷月光	我努力微笑坚强\n寂寞筑成一道围墙	也敌不过夜里\n最温柔的月光
林宥嘉	残酷月光	如果恨你\n就能不忘记你	所有的面目\n我都不抗拒
林宥嘉	残酷月光	我一直都在流浪\n可我不曾见过海洋	我以为的遗忘\n原来躺在你手上
林宥嘉	残酷月光	如果不够悲伤\n就无法飞翔	可没有梦想\n何必远方
五月天	仓颉	想穿越 想飞天 \n想变成 造字的仓颉	创造 能让你想起我 的字眼\n多遥远多纠结 多想念 多无法描写
五月天	仓颉	我遗落在\n最孤独史前的荒野	多遥远 多纠结 多想念 多无法描写
林俊杰	曹操	东汉末年分三国\n烽火连天不休	儿女情长被乱世左右\n谁来煮酒
林俊杰	曹操	东汉末年分三国 烽火连天不休\n儿女情长被乱世左右 谁来煮酒	尔虞我诈是三国 说不清对与错\n纷纷扰扰 千百年以后
林俊杰	曹操	曹操不啰嗦\n一心要拿荆州	用阴谋 阳谋 明说 \n暗夺的摸
林俊杰	曹操	不是英雄不读三国 若是英雄\n怎么能不懂寂寞	独自走下长坂坡\n月光太温柔
张碧晨	曾经守候	曾经守候\n我给你我所有	你给的承诺\n全都消失无踪
李宇春	差生	差生的夜伴奏哭红的眼\n放走心愿只受月光的怜	害怕作业反正我像看不见\n等钟到了七点就是明天
许嵩	拆东墙	掌柜的小破酒馆被人拆了东墙\n后来	衙门说按一平米八吊钱来跟他折算
许嵩	拆东墙	公元六五九年 十九岁\n 他接他爹的班	考不取功名的后果是接手自家的酒馆\n又听说同乡谁已经赴京做上小官
薛之谦	钗头凤	有人在\n马嵬坡外的夜半时	留三尺白绫\n秋风吹散她
薛之谦	钗头凤	我唱着钗头凤\n看世间风月几多重	我打碎玉玲珑\n相见别离都太匆匆
王力宏	柴米油盐酱醋茶	而长大以后 我想要什么\n我要一台小小红色答录机	和你一起录下\n喂 我们现在不在家
田馥甄	超级玛丽	有只叫玛丽玛丽玛丽的蚂蚁\n爱上马路对面的查理	可惜查理查理查理是只猫\n天天在想河里的鱼
周杰伦	超跑女神	音乐在激动 舞步在骚动\n你的心我掌控掌控 懂不懂	引擎声 划夜空\n座椅上的安全带 在紧绷
