singer	song	lyric	next_lyric
陈奕迅	婚礼的祝福	我的人生早留在你那里\n我却还要故作潇洒地	你和他我和你\n这是个讽刺的交集
陈奕迅	婚礼的祝福	你总是太清醒\n我始终喝不醉	连祝福你还逼我给\n你的喜贴是我的请贴
张杰	火鸟	像颗子弹 挡不了 GO 像惊叹号\n在胸口燃烧 把世界也燃烧	让冰河变赤道 带火苗的冰雹\n带翅膀的骄傲 把天地翻搅
陶喆	火鸟功	快都不能呼吸 电车上太拥挤\n我有闻到毒气 是谁放了臭屁	赶着像只蚂蚁 没时间喝咖啡\n每天八个会议 蹲在马桶透个气
薛之谦	火星人来过	其实我们也忏悔过借口都好说\n可以怪我心脏偏左	有些领袖话音刚落也会很难过\n因为会议迟迟通不过
薛之谦	火星人来过	我在听新闻里面说 他们曾来过\n火星人的心脏靠左	如此的爱你 花刺痛的伤\n我不想抵抗 该要如何学会隐藏
薛之谦	火星人来过	如果钢铁都燃起火\n看城市多折磨	请你配合我一起难过
薛之谦	火星人来过	如果欲望都燃起火\n怎么自私怎么活	请你举起手假装难过
汪苏泷	火星研究院	实验是秘密\n处理地球的数据	局长能听见声音\n火星人的频率
周杰伦	霍元甲	吓 命有几回合 擂台等着\n生死状 赢了什么 冷笑着	天下谁的第一又如何\n止干戈我辈尚武德
周杰伦	霍元甲	霍霍霍霍 霍霍霍霍\n霍家拳的套路招式灵活	活活活活 活活活活\n活着生命就该完整渡过
薛之谦	几个你	我还要遇见几个你\n才可以忘记你	我还要拒绝几个你\n才可以不想起
薛之谦	几个你	我去过几个城市\n有几个地址 仿佛能听见你	为什么折磨自己\n也折磨着你 也许你不在意
薛之谦	几个你	买醉过几个夜晚\n喝几杯咖啡 和几个人聊天	我搬过几个地址\n谈几次恋爱 偶尔给你邮件
薛之谦	几个你	放纵过几个黑夜\n尽力的狂欢 在青春快逝去	车速要开到多少\n往哪个方向 才能追回你
薛之谦	几个你	旧朋友几次提起\n有你的消息 说谁在照顾你	我还要遇见几个你\n才可以忘记你
薛之谦	几个你	这城市怎么都是你\n可你在哪里	这世界怎么都是你\n原来你住在我心里
林俊杰	记得	我们都忘了 这条路走了多久\n心中是清楚的 有一天 有一天都会停的	让时间说真话 虽然我也害怕\n在天黑了以后 我们都不知道会不会有以后
林俊杰	记得	谁还记得是谁先说 \n永远的爱我	以前的一句话是我们 以后的伤口\n过了太久没人记得 当初那些温柔
张惠妹	记得	谁还记得 \n 是谁先说永远的爱我	我爱的是你 我爱的是你\n为何你怎么都看不清
蔡健雅	记念	那一瞬间 你终于发现\n那曾深爱过的人	早在告别的那天\n已消失在这个世界
陶喆	寂寞的季节	艳阳高照在那海边\n爱情盛开的世界	远远看著热闹一切\n我记得那狂烈
陶喆	寂寞的季节	在这寂寞的季节\n又走过风吹的冷冽	最后一盏灯熄灭\n从回忆我慢慢穿越
田馥甄	寂寞寂寞就好	我寂寞寂寞就好\n你真的不用来我回忆里微笑	我就不相信我会笨到忘不了\n赖着不放掉
田馥甄	寂寞寂寞就好	我就不相信我会笨到忘不了 \n赖着不放掉	人本来就寂寞的\n我总会把你戒掉
田馥甄	寂寞寂寞就好	我寂寞寂寞就好\n这时候谁都别来安慰 拥抱	就让我一个人去痛到\n受不了伤到快疯掉
田馥甄	寂寞寂寞就好	还是原来那个你\n是我自己做梦你有改变什么	再多的爱也没用\n每个人有每个人的业障因果
李宗盛	寂寞难耐	寂寞难耐 寂寞难耐\n爱情是 最辛苦的等待	爱情是最遥远的未来
华晨宇	寂寞先生	我可以无 所谓\n寂寞却一直掉 眼泪	人类除了擅长颓废\n做什麽都不对
五月天	寂寞星球	寂寞星球人人寂寞 \n 现在就靠近我	难道爱你\n才让我更寂寞
韩红	家乡	我的家乡在日喀则\n那里有条美丽的河	阿妈拉说牛羊满山坡\n那是因为菩萨保佑的
韩红	家乡	蓝蓝的天上白云朵朵\n美丽河水泛清波	雄鹰在这里展翅飞过\n留下那段动人的歌
信乐团	假如	一份爱能承受多少的误解\n熬过飘雪的冬天	一句话能撕裂多深的牵连\n变的比陌生人还遥远
蔡依林	假装	假装多好\n我只要 只想要再拥有一秒	再拥有一秒 去相信你的拥抱\n还心甘情愿的不想逃
张惠妹	剪爱	把爱 剪碎了随风吹向大海\n有许多事 让泪水洗过更明白	天真如我\n张开双手以为撑得住未来
张惠妹	剪爱	把爱\n剪碎了随风吹向大海	有许多事\n让泪水洗过更明白
汪苏泷	简单	我没那么浪漫\n给你做晚餐 你是喜不喜欢	就是这么直白 这么简单\n希望你明白 这是我的爱
周杰伦	简单爱	说不上为什么 我变得很主动\n若爱上一个人 什么都会值得去做	我想大声宣布 对你依依不舍\n连隔壁邻居都猜到我现在的感受
周杰伦	简单爱	河边的风 在吹着头发飘动\n牵着你的手 一阵莫名感动	我想带你 回我的外婆家\n一起看着日落 一直到我们都睡着
周杰伦	简单爱	我想就这样牵着你的手不放开\n爱能不能够 永远单纯没有悲哀	我 想带你骑单车\n我 想和你看棒球
苏打绿	简单生活	想要挣脱 虚假承诺\n会感动我过一种生活	简单到没有奢侈的轻松\n过一种生活 在你的王国
林俊杰	简简单单	只是简简单单的爱过\n我还是我	简简单单的想过\n就不算白活
林俊杰	简简单单	我摊开了双手你予取予求\n直到你想自由	痛苦的时候 我不会闪躲\n就像树叶甘心为春风吹落
林俊杰	简简单单	只是简简单单的爱过 我还是我\n简简单单的想过 就不算白活	简简单单的疯过 被梦带走\n当故事结束之后 心也喜欢一个人寂寞
许嵩	江湖	今夕是何夕\n晚风过花庭	飘零 予人乐后飘零\n故地是何地 死生不复回
许嵩	江湖	衣锦夜行\n 当一生尘埃落定	飞鸽来急\n那落款沾染血迹
许嵩	江湖	故地是何地\n死生不复回	热血 风干在旧恨里\n衣锦夜行 当一生尘埃落定
许嵩	江湖	孤雁飞去\n红颜来相许	待到酒清醒\n她无影 原来是梦里
林俊杰	江南	圈圈圆圆圈圈\n天天年年天天 的我	深深看你的脸\n生气的温柔 埋怨的温柔 的脸
林俊杰	江南	不懂怎么表现温柔的我们\n还以为殉情只是古老的传言	离愁能有多痛 痛有多浓\n当梦被埋在江南烟雨中 心碎了才懂
林俊杰	江南	雨到了这里缠成线\n缠着我们流连人世间	你在身边就是缘\n缘分写在三生石上面
林俊杰	江南	风到这里就是粘\n粘住过客的思念	雨到了这里缠成线\n缠着我们留恋人世间
林俊杰	江南	离愁能有多痛\n痛有多浓	当梦被埋在江南烟雨中
周杰伦	将军	我目光如龙 当敌人是空\n我战法无穷 我攻势如风	用单车入宫\n碾过你懊丧的脸孔
周杰伦	将军	时间的箭头 都指向你铩羽而归的地方\n你会前进 但终究还是得要习惯投降	想当然尔 第六步是你最大的致命伤\n我按兵不动 出于习惯凡事沉默的酝酿
周杰伦	将军	我目光如龙 当敌人是空\n我左右开弓 我气势如虹	将炮马尽用\n兵临城下 想逃都没用
许嵩	降温	我调整心态\n 呼吸节奏渐渐的平缓	把电视打开\n节目和嘉宾全在瞎侃
许嵩	降温	落地窗上好像\n已经蒙上厚厚的雾气	刚倒的一杯热水 凉了\n像极了我和你
张杰	骄傲的选择	左手握紧热血的源头\n右手举起好胜的心	我从来都是享受着角逐\n第一个冲过终点的身影
王力宏	脚本	我们的脚本\n要写的好认真	我一定看过太多的悲剧\n能给一点点笑 就算是笑中带泪
张杰	街角的祝福	只因为怕你解释不了\n只因为现在你的眼睛里 他比我还重要	我只好假装我看不到\n看不到你和她在对街拥抱
张杰	街角的祝福	多少个秋多少个冬\n我几乎快要被治愈好	但还是会只因为一个重复的话题\n就无心自扰
王心凌	睫毛弯弯	睫毛弯弯 眼睛眨阿眨\n心动的世界变得好好玩	来玩大风吹 吹什么\n吹一见钟情的人
张惠妹	姐妹	你是我的姊妹 你是我的Baby\nOh Yeah 不管相隔多远	你是我的姊妹 你是我的Baby\nOh Yeah~ 珍爱这份感觉
张惠妹	解脱	解脱 是肯承认这是个错\n我不应该还不放手	你有自由走我有自由好好过\n解脱是懂擦干泪看以后
张惠妹	解脱	爱是不夜城回忆像星辰\n热泪越沸腾我越感觉有点冷	变了心的人 越想越伤人\n枯坐到清晨 阳光替房间开了灯
李荣浩	戒烟	你给过我的伤害\n是没有一句责怪	戒了烟 染上悲伤\n我也不想
李荣浩	戒烟	戒了烟我不习惯\n没有你我怎么办	三年零一个礼拜\n才学会怎么忍耐
周杰伦	借口	就算没有结果\n我也能够承受	我知道你的痛\n是我给的承诺
周杰伦	借口	也许你已经放弃我\n也许已经很难回头	我知道是自己错过\n请再给我一个理由说你不爱我
周杰伦	借口	你说给过我纵容 \n 沉默是因为包容	如果要走\n请你记得我
周杰伦	借口	就算是我不懂 能不能原谅我\n请不要把分手当作你的请求	我知道坚持要走\n是你受伤的借口
许嵩	今年勇	功名桥 世俗道\n 年少难免走一遭	有人哭 有人笑 \n 笑的也不见得逍遥
许嵩	今年勇	今朝有酒醉\n 醉庆同袍沙场归	天公爱作美\n清风皓月任我飞
张杰	今生今世	能遇见 就是缘 哪怕 就匆匆一眼\n我们 注定要相恋 不改变	思念 像无形红线\n轮回 缘起再不灭
张杰	今生今世	太阳弹回去 一轮明月\n花瓣飞回去 芳香你容颜	时针倒回去 赶上了昨天\n回到那一年 你身边
张杰	今生最爱	爱让我沉醉\n我就像个三四岁的小孩	听到你却怎么说不出来\nwooh 你是我的现在也是我的未来
蔡依林	今天你要嫁给我	听我说 手牵手 跟我一起走\n创造幸福的生活	昨天已来不及明天就会可惜\n今天嫁给我好吗
蔡依林	今天你要嫁给我	春暖的花开带走冬天的感伤\n微风吹来浪漫的气息	每一首情歌忽然充满意义\n我就在此刻突然见到你
林俊杰	进化论	讨厌现在 多情容易被出卖\n讨厌古代 缘份只靠等待	讨厌未来 那承诺太容易腐败\n快转倒带 结果总是一样坏
张杰	经典咏流传	吟一首诗看千年经典惹人恋\n歌一阕词让唇齿留香满心田	空山新雨后天气晚来秋\n明月松间照清泉石上流
张杰	经典咏流传	走在古城朱雀的小街\n听见太白唱醉的明月	这是杜甫赞过的春雨\n王维的空山就在心里
许嵩	惊鸿一面	柳下闻瑶琴\n 起舞和一曲	仿佛映当年翩若惊鸿影\n谁三言两语撩拨了情意
许嵩	惊鸿一面	翻手为云\n 覆手为雨	金盆洗手止风雨\n不恋红尘却难舍回忆
许嵩	惊鸿一面	谁三言两语\n 撩拨了情意	谁一颦一笑摇曳了星云\n纸扇藏伏笔玄机诗文里
周杰伦	惊叹号	越山丘 过哑口\n云端的空气稀薄	这街头 敌意多\n烟硝弥漫不了我
周杰伦	惊叹号	高楼的视野 不知名的街\n霓虹侵略 庸俗了这一切	是与非 隔着路口对决\n我主宰 我自己的世界
周杰伦	惊叹号	顺向坡 从不走 逆着风清醒了我\n我沉默 话不多 赢的时候才开口	势均力敌才叫战斗\n希望呢 你们是像样的对手
林俊杰	精灵	月光下的你沉默而孤单\n挺直的脊梁和瘦削的肩膀	眼里的迷惘 影子的苍凉夜雾茫茫\n可以对着你一整个晚上
许嵩	敬酒不吃	敬酒不吃吃罚酒的爽\n我一个人品尝	你心里定在骂我轻狂\n但能把我怎样
许嵩	敬酒不吃	身在高楼心在北大荒\n我就这副死样	何必跟我装\n没用场
许嵩	敬酒不吃	有些人一吃饭\n就很喜欢敬酒	三杯酒下肚\n就能够唤你朋友
陈绮贞	九份的咖啡店	昨日的单纯今天的实际像你\n而你也早已不是你	我的心 是一杯调和过的咖啡\n怀念着往日淡薄的青草味
蔡依林	就是爱	当我才发觉 就是爱 世界变了\n当你在传达 你爱我 手牵着我	当我正想你 就是爱 天空晴了\n当我抬起头\n你在眼前了
陶喆	就是爱你	我一直都想对你说 你给我想不到的快乐\n像绿洲给了沙漠	说你会永远陪着我\n做我的根我翅膀要我飞也有回去的窝
陶喆	就是爱你	就是爱你爱着你 有悲有喜\n有你平淡也有了意义	就是爱你爱着你 甜蜜又安心\n那种感觉就是你
林俊杰	就是我	躺在星空下的草地上\n心事全都摊开让你看	满天星星张大眼睛盯著我\n想要说任他们说 他们看 我都不管
林俊杰	就是我	任他们说 他们看 我都不管\n我只要宣布爱你的人就是我	对 没有错 就是要\n简简单单 就是我 爱你 爱我
林俊杰	就是我	任他们说 他们看 我都不管\n我只要 宣布爱你的人就是我	对 没有错 就是要\n简简单单 就是我 爱你 爱我
王力宏	就是现在	不要拖泥又带水不要懒惰又浪费\n这就是我的年代	星球排成一条线现在该趁热打铁\n我的梦不是未来就是现在
周杰伦	菊花台	花已向晚 飘落了灿烂\n凋谢的世道上 命运不堪	愁莫渡江秋心拆两半\n怕你上不了岸一辈子摇晃
周杰伦	菊花台	谁的江山 马蹄声狂乱\n我一身的戎装 呼啸沧桑	天微微亮你轻声的叹\n一夜惆怅如此委婉
周杰伦	菊花台	你的泪光柔弱中带伤\n惨白的月弯弯勾住过往	夜太漫长凝结成了霜\n是谁在阁楼上冰冷的绝望
周杰伦	菊花台	北风乱夜未央\n你的影子剪不断	徒留我孤单在湖面\n成双
周杰伦	菊花台	雨轻轻弹朱红色的窗\n我一生在纸上被风吹乱	梦在远方化成一缕香\n随风飘散你的模样
周杰伦	菊花台	菊花残满地伤\n你的笑容已泛黄	花落人断肠\n我心事静静淌
林俊杰	距离	在距离三公里的位置\n我在这里	想像心中的你的呼吸\n同样的熄着灯的窗子
潘玮柏	决战斗室	紧握灵魂的手 最后一刻战斗\n黑暗恐怖之中决战斗室只剩你我	倒数的计时钟胜利才终结转动\n我闭上眼我站在斗室中
五月天	倔强	我和我骄傲的倔强 \n我在风中大声的唱	这一次为自己疯狂\n就这一次 我和我的倔强
五月天	倔强	当 我和世界不一样 \n 那就让我不一样	坚持对我来说就是以刚克刚
五月天	倔强	我和我最后的倔强 \n 握紧双手绝对不放	下一站是不是天堂\n就算失望不能绝望
五月天	倔强	最美的愿望一定最疯狂\n我就是我自己的神	在我活的地方
